obwod;coordexact;glosy;icon
102401;53.9724144 18.5357073;4;measle_grey
102402;53.9669524 18.5310086;2;measle_white
102403;53.9642472 18.5376612;2;measle_white
102404;53.962669 18.529628;0;measle_white
102405;53.962067 18.5308893;3;measle_white
102406;53.961611 18.5312694;0;measle_white
102407;53.962219 18.528323;2;measle_white
102408;53.960078 18.526549;1;measle_white
102409;53.957945 18.52823;5;measle_grey
102410;53.9595917 18.5256966;1;measle_white
102411;53.96263 18.521075;3;measle_white
102412;53.963925 18.510863;2;measle_white
102413;53.961369 18.501957;2;measle_white
102414;53.9659753 18.5193786;1;measle_white
102415;53.961369 18.501957;1;measle_white
102416;53.957945 18.52823;1;measle_white
102417;53.967165 18.508083;0;measle_white
102418;53.980628 18.5114259;2;measle_white
102419;53.9651323 18.5329901;0;measle_white
102420;53.9704398 18.529018;0;measle_white
102421;53.879522 18.5570369;1;measle_white
102422;53.846561 18.5805404;1;measle_white
102423;53.905472 18.566412;0;measle_white
102424;53.877535 18.499145;0;measle_white
102425;53.906846 18.219707;6;measle_grey
102426;53.885343 18.217931;1;measle_white
102427;53.903887 18.222972;1;measle_white
102428;53.848539 18.400191;2;measle_white
102429;53.849049 18.399341;2;measle_white
102430;53.831549 18.4343366;0;measle_white
102431;53.7963696 18.3942494;0;measle_white
102432;53.806408 18.316841;1;measle_white
102433;53.863781 18.3232019;0;measle_white
102434;53.770271 18.202616;3;measle_white
102435;53.7700691 18.1158781;0;measle_white
102436;53.691597 18.5647169;1;measle_white
102437;53.722203 18.4991509;0;measle_white
102438;53.7236098 18.4918545;2;measle_white
102439;53.741251 18.3598189;0;measle_white
102440;54.070415 18.440119;6;measle_grey
102441;54.073317 18.454998;2;measle_white
102442;54.071653 18.445404;1;measle_white
102443;54.1039604 18.3691979;0;measle_white
102444;54.0564157 18.3883617;5;measle_grey
102445;54.02623 18.3250779;1;measle_white
102446;54.098214 18.555322;1;measle_white
102447;54.031503 18.464842;0;measle_white
102448;54.072178 18.487872;0;measle_white
102449;53.815378 18.5733049;0;measle_white
102450;53.786825 18.612125;0;measle_white
102451;53.844626 18.5292089;2;measle_white
102452;53.8231961 18.4647211;3;measle_white
